AAPL
MSFT
XOM
JNJ
AMZN
JPM
GE
FB
WFC
T
GOOGL
GOOG
BAC
PG
CVX
VZ
PFE
BRK-B
MRK
CMCSA
INTC
HD
KO
C
UNH
CSCO
V
PEP
DIS
IBM
PM
MO
ORCL
SLB
BRK-A
AMGN
MMM
MCD
MDT
QCOM
MA
ABBV
WMT
GILD
BMY
CELG
BA
HON
UTX
UNP
CVS
SBUX
USB
UPS
GS
WBA
AGN
ACN
PCLN
TXN
TWX
NKE
LLY
LMT
COST
BIIB
AIG
DD
AVGO
DOW
LOW
MDLZ
COP
MS
CL
AXP
CB
EOG
SPG
ABT
CHTR
CAT
TMO
OXY
PNC
NEE
ADBE
DUK
KHC
TJX
DHR
GM
MET
BK
ESRX
NFLX
NVDA
F
CRM
RAI
SCHW
AET
D
SO
FDX
GD
PYPL
MON
NOC
TGT
RTN
PRU
AMT
HAL
COF
KMI
JCI
ADP
KMB
ITW
HPE
BLK
APC
ANTM
PSX
BBT
GIS
CME
EMR
DAL
BDX
MMC
YHOO
AMAT
CI
PX
SYK
CSX
CTSH
TRV
MCK
PXD
HUM
SPGI
ICE
APD
NSC
PSA
WM
KR
ECL
AON
ETN
LYB
EXC
DE
FOXA
EBAY
PCG
REGN
AFL
AEP
LUV
SE
VLO
CCI
BSX
STT
INTU
BHI
SYF
DFS
SYY
ROST
PLD
HPQ
ALXN
ALL
STI
PPG
STZ
FIS
ADM
APA
ZTS
SRE
GLW
LVS
MPC
ISRG
ORLY
AAL
ATVI
EQIX
TEL
DVN
CMI
CBS
LNKD
WY
MAR
WMB
FISV
AZO
TSLA
ADI
HCA
PPL
NWL
EA
CAH
AVB
STJ
HCN
EIX
YUM
EQR
PCAR
BAX
ED
VTR
APH
SHW
PEG
OMC
MTB
MU
VRTX
CXO
IP
FITB
CCL
XEL
NUE
DLTR
DG
ILMN
PGR
ZBH
IR
MNST
PAYX
BXP
UAL
KEY
PH
AMP
ROP
FCX
HIG
VFC
WDC
SWK
NTRS
WEC
K
EW
TROW
DLPH
CFG
ROK
NEM
EL
LB
TAP
FTV
RF
LRCX
TSN
VMC
DTE
MYL
VNO
PFG
MCO
NBL
ES
INCY
WLTW
DPS
CAG
HES
LVLT
TMUS
ADSK
BCR
ULTA
EXPE
MRO
CERN
SYMC
LLTC
CLX
LNC
HLT
NLSN
SWKS
O
RHT
A
MCHP
ABC
ESS
NOV
RCL
SJM
MLM
BMRN
HCP
MGM
FAST
XLNX
EFX
GPC
BEN
DLR
XRAY
HBAN
GGP
WCN
MSI
RSG
MJN
FE
HSY
HST
FLT
XEC
BLL
M
VIAB
NOW
HRS
AWK
WRK
LH
INFO
CTL
IVZ
